Samples,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,Watering_Regm
SRR5224601,0.000000e+00,0.000000e+00,2.059403e-01,3.682260e-02,2.142195e-03,0.000000e+00,2.836962e-03,5.500232e-03,3.126447e-03,7.329782e-02,1.736915e-04,1.395322e-02,3.879111e-03,1.861394e-01,2.779064e-03,0.000000e+00,1.736915e-04,8.395090e-03,3.184345e-03,8.684576e-04,0.000000e+00,1.852710e-03,1.117415e-02,0.000000e+00,5.789717e-04,1.157943e-04,6.368689e-04,2.315887e-04,9.842520e-04,1.679018e-03,1.157943e-04,0.000000e+00,1.794812e-03,2.200093e-03,1.175313e-02,4.052802e-04,0.000000e+00,0.000000e+00,1.812182e-02,0.000000e+00,5.789717e-05,0.000000e+00,5.037054e-03,4.458082e-02,4.747568e-03,1.157943e-04,5.210746e-04,1.679018e-03,2.084298e-02,1.100046e-03,0.000000e+00,6.137101e-03,0.000000e+00,0.000000e+00,1.327003e-01,1.055465e-01,9.842520e-04,0.000000e+00,1.157943e-04,7.497684e-02,0
SRR5224606,0.000000e+00,0.000000e+00,1.148392e-01,1.187594e-02,1.671855e-03,4.035513e-04,2.363657e-03,3.228410e-03,2.075406e-03,2.375764e-01,0.000000e+00,1.325954e-02,1.325954e-03,1.764672e-01,5.188516e-04,1.153004e-04,0.000000e+00,6.918021e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.360544e-02,0.000000e+00,3.459011e-04,4.035513e-04,4.035513e-04,1.153004e-04,0.000000e+00,0.000000e+00,5.765018e-05,6.341520e-04,1.729505e-04,0.000000e+00,3.015104e-02,1.210654e-03,0.000000e+00,0.000000e+00,1.821746e-02,0.000000e+00,0.000000e+00,0.000000e+00,5.476767e-03,1.320189e-02,3.516661e-03,0.000000e+00,0.000000e+00,0.000000e+00,6.341520e-03,2.306007e-04,0.000000e+00,2.651908e-03,4.035513e-04,0.000000e+00,1.619394e-01,1.486798e-01,0.000000e+00,0.000000e+00,0.000000e+00,2.582728e-02,0
SRR5224607,0.0000000000,0.0000000000,0.0246842378,0.0015571832,0.0000000000,0.0000000000,0.0001730204,0.0000000000,0.0007497549,0.3193379088,0.0000000000,0.0014995098,0.0004613876,0.1953399850,0.0000000000,0.0003460407,0.0002306938,0.0004613876,0.0002883673,0.0000000000,0.0000000000,0.0000000000,0.0057673453,0.0000000000,0.0000000000,0.0000000000,0.0001153469,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0021339178,0.0005190611,0.0000000000,0.0000000000,0.0001730204,0.0000000000,0.0000000000,0.0000000000,0.0003460407,0.0285483592,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0011534691,0.0000000000,0.0000000000,0.0001153469,0.0000000000,0.0000000000,0.1848434166,0.2225041813,0.0000000000,0.0000000000,0.0000000000,0.0086510179,0
SRR5224622,0.000000e+00,0.000000e+00,3.186445e-01,1.289614e-02,1.237567e-02,1.214434e-03,6.130002e-03,5.551700e-03,2.024057e-03,6.031691e-02,2.891511e-04,1.601897e-02,1.908397e-03,6.922276e-02,9.831136e-04,8.096229e-04,1.850567e-03,1.214434e-03,2.428869e-03,1.734906e-04,3.469813e-04,0.000000e+00,2.677539e-02,2.313208e-04,2.139718e-03,7.517927e-04,2.313208e-04,6.939625e-04,2.891511e-04,7.517927e-04,0.000000e+00,6.939625e-04,1.677076e-03,7.517927e-04,5.378210e-02,3.238492e-03,0.000000e+00,0.000000e+00,4.314134e-02,1.156604e-04,6.361323e-04,0.000000e+00,1.208651e-02,2.133935e-02,7.055286e-03,1.156604e-04,0.000000e+00,3.238492e-03,4.510756e-03,1.156604e-04,5.783021e-05,3.411982e-03,1.734906e-04,0.000000e+00,1.557946e-01,8.287069e-02,0.000000e+00,0.000000e+00,2.891511e-04,5.863983e-02,0
SRR5224625,0.000000e+00,0.000000e+00,1.783940e-01,1.369151e-02,4.043905e-03,4.043905e-04,2.541883e-03,1.733102e-03,2.310803e-03,8.370884e-02,0.000000e+00,1.530907e-02,1.675332e-03,1.409590e-01,9.820913e-04,2.137493e-03,5.777008e-04,2.830734e-03,1.675332e-03,0.000000e+00,5.777008e-05,0.000000e+00,4.350087e-02,2.888504e-04,1.213172e-03,6.932409e-04,1.155402e-04,1.155402e-04,5.777008e-05,2.310803e-04,0.000000e+00,8.665511e-04,4.621606e-04,2.426343e-03,5.020220e-02,1.675332e-03,0.000000e+00,0.000000e+00,4.407857e-02,0.000000e+00,0.000000e+00,0.000000e+00,9.012132e-03,3.235124e-02,1.623339e-02,5.777008e-05,2.310803e-04,8.665511e-04,1.380705e-02,0.000000e+00,0.000000e+00,8.376661e-03,8.665511e-04,0.000000e+00,1.525708e-01,1.134027e-01,0.000000e+00,0.000000e+00,3.466205e-04,5.291739e-02,1
SRR5224626,0.0000000000,0.0000000000,0.0827845176,0.0044482958,0.0004621606,0.0000000000,0.0012131716,0.0008087811,0.0002888504,0.1963027152,0.0000000000,0.0065280185,0.0007510110,0.1101097631,0.0000000000,0.0002888504,0.0000000000,0.0012131716,0.0005777008,0.0000000000,0.0000000000,0.0000000000,0.0091276719,0.0001733102,0.0003466205,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0002888504,0.0000000000,0.0001733102,0.0000000000,0.0005199307,0.1142114385,0.0012709417,0.0000000000,0.0000000000,0.0090699018,0.0000000000,0.0000000000,0.0000000000,0.0009243212,0.0107452340,0.0018486424,0.0000000000,0.0000000000,0.0000000000,0.0002310803,0.0000000000,0.0000000000,0.0009820913,0.0000000000,0.0000000000,0.1574234547,0.2645291739,0.0000000000,0.0000000000,0.0000000000,0.0223570191,1
SRR5224628,0.000000e+00,0.000000e+00,1.384295e-01,1.098647e-02,2.717706e-03,2.891176e-04,1.619059e-03,5.782352e-03,3.238117e-03,1.126980e-01,1.156470e-04,1.671100e-02,2.312941e-04,1.682665e-01,4.625882e-04,9.251764e-04,1.040823e-03,6.360587e-04,1.098647e-03,0.000000e+00,4.047647e-04,5.204117e-04,1.931306e-02,1.156470e-04,7.517058e-04,2.312941e-03,2.891176e-04,5.782352e-05,5.782352e-05,5.724529e-03,0.000000e+00,4.625882e-04,2.891176e-04,9.829999e-04,5.678270e-02,3.874176e-03,5.782352e-05,0.000000e+00,2.538453e-02,0.000000e+00,4.047647e-04,0.000000e+00,3.469411e-03,2.717706e-02,3.295941e-03,0.000000e+00,0.000000e+00,1.156470e-03,5.493235e-03,0.000000e+00,0.000000e+00,1.387765e-03,1.734706e-04,0.000000e+00,1.771713e-01,1.529432e-01,0.000000e+00,0.000000e+00,0.000000e+00,4.469758e-02,0
SRR5224631,1.157541e-04,0.000000e+00,2.234634e-01,7.234634e-03,3.009608e-03,2.315083e-04,5.845584e-03,2.430837e-03,9.260331e-04,1.881584e-01,0.000000e+00,3.345295e-02,1.099664e-03,5.457808e-02,1.446927e-03,2.893853e-04,1.331173e-03,3.472624e-04,0.000000e+00,0.000000e+00,5.787707e-05,0.000000e+00,4.867462e-02,6.945248e-04,1.099664e-03,1.620558e-03,5.787707e-05,0.000000e+00,0.000000e+00,8.681560e-04,5.787707e-05,2.083574e-03,5.208936e-04,2.778099e-03,3.553652e-02,4.745920e-03,0.000000e+00,0.000000e+00,3.073272e-02,0.000000e+00,0.000000e+00,0.000000e+00,8.970946e-03,1.904156e-02,1.093877e-02,0.000000e+00,0.000000e+00,5.208936e-04,3.935641e-03,0.000000e+00,0.000000e+00,3.762009e-03,6.366478e-04,0.000000e+00,1.674384e-01,7.998611e-02,0.000000e+00,5.787707e-05,0.000000e+00,5.122121e-02,1
SRR5224633,0.000000e+00,0.000000e+00,2.703483e-02,3.119404e-03,4.621339e-04,0.000000e+00,1.097568e-03,1.155335e-04,5.776674e-04,2.464329e-01,0.000000e+00,9.820345e-03,1.675235e-03,1.950205e-01,5.776674e-05,8.087343e-04,9.820345e-04,2.888337e-04,0.000000e+00,5.776674e-05,0.000000e+00,0.000000e+00,5.372307e-03,0.000000e+00,0.000000e+00,9.242678e-04,4.621339e-04,0.000000e+00,0.000000e+00,2.888337e-04,0.000000e+00,0.000000e+00,0.000000e+00,2.946104e-03,5.372307e-03,3.466004e-04,0.000000e+00,0.000000e+00,3.639304e-03,5.776674e-05,0.000000e+00,2.310670e-04,8.087343e-04,5.661140e-02,0.000000e+00,0.000000e+00,7.509676e-04,0.000000e+00,2.888337e-03,0.000000e+00,0.000000e+00,6.354341e-04,0.000000e+00,0.000000e+00,1.916123e-01,2.083646e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.113627e-02,1
SRR5224639,5.208936e-04,0.000000e+00,9.700197e-02,8.739437e-03,1.620558e-03,0.000000e+00,6.945248e-03,9.260331e-04,4.051395e-03,1.916889e-01,0.000000e+00,4.554925e-02,7.524019e-04,7.680287e-02,0.000000e+00,2.488714e-03,2.893853e-04,9.839102e-04,3.993518e-03,5.787707e-05,0.000000e+00,0.000000e+00,4.728557e-02,2.893853e-04,1.736312e-03,3.472624e-03,0.000000e+00,0.000000e+00,0.000000e+00,1.041787e-03,0.000000e+00,1.736312e-04,0.000000e+00,3.993518e-03,1.091562e-01,1.846279e-02,6.945248e-04,0.000000e+00,3.131149e-02,3.472624e-04,3.472624e-04,0.000000e+00,9.318208e-03,2.569742e-02,1.117027e-02,0.000000e+00,0.000000e+00,0.000000e+00,1.389050e-03,0.000000e+00,5.787707e-05,3.414747e-03,1.736312e-04,0.000000e+00,2.043639e-01,6.621137e-02,0.000000e+00,0.000000e+00,0.000000e+00,1.747887e-02,1
