Samples,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,Watering_Regm
SRR5224622,0.0000000000,0.0000000000,0.3558862548,0.0784449443,0.0019034435,0.0700236488,0.0026532849,0.0332237411,0.0016727231,0.0002884005,0.0009228817,0.0023648844,0.0007498414,0.0575647459,0.0437792006,0.0333391013,0.0070369729,0.0079598546,0.0036338467,0.2380457980,0.0006921613,0.0004037607,0.0000000000,0.0000000000,0.0587760281,0.0006344812,0
SRR5224625,0.000000e+00,0.000000e+00,2.006465e-01,1.012468e-01,1.673978e-03,1.418264e-01,2.712999e-03,4.952667e-02,9.235742e-04,5.772339e-05,2.308936e-04,1.327638e-03,2.424382e-03,5.206650e-02,4.404295e-02,4.132995e-02,1.622027e-02,1.500808e-02,9.235742e-03,2.658739e-01,3.463403e-04,0.000000e+00,0.000000e+00,0.000000e+00,5.322097e-02,5.772339e-05,1
SRR5224626,0.0000000000,0.0000000000,0.0895617070,0.2027681661,0.0007497116,0.1099192618,0.0002883506,0.0114186851,0.0000000000,0.0000000000,0.0002883506,0.0001730104,0.0005190311,0.1170126874,0.0090542099,0.0116493656,0.0018454441,0.0002306805,0.0009803922,0.4212226067,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0223183391,0.0000000000,1
SRR5224628,0.000000e+00,0.000000e+00,1.596765e-01,1.326401e-01,2.310803e-04,1.685731e-01,1.964183e-03,2.281918e-02,2.657423e-03,5.777008e-05,5.719237e-03,7.510110e-04,9.820913e-04,6.129405e-02,2.576545e-02,3.061814e-02,3.292894e-03,6.759099e-03,1.559792e-03,3.298094e-01,1.733102e-04,0.000000e+00,0.000000e+00,0.000000e+00,4.465627e-02,0.000000e+00,0
SRR5224631,1.154668e-04,0.000000e+00,2.416142e-01,2.219849e-01,1.096934e-03,5.588592e-02,1.616535e-03,5.097858e-02,1.674268e-03,0.000000e+00,8.660008e-04,2.655736e-03,2.771203e-03,4.087524e-02,3.065643e-02,2.794296e-02,1.091161e-02,4.445471e-03,4.387737e-03,2.468102e-01,6.350673e-04,4.041337e-04,0.000000e+00,5.773339e-05,5.109405e-02,5.196005e-04,1
SRR5224633,0.0000000000,0.0000000000,0.0318019162,0.2566085652,0.0016737851,0.1949093847,0.0017892185,0.0057139559,0.0013852014,0.0000000000,0.0002885836,0.0000000000,0.0029435530,0.0062334064,0.0036938705,0.0576012929,0.0000000000,0.0036361538,0.0006348840,0.3996306130,0.0000000000,0.0003463004,0.0000000000,0.0000000000,0.0311093155,0.0000000000,1
SRR5224639,0.0005193007,0.0000000000,0.1148808493,0.2405516127,0.0007501010,0.0765679995,0.0027696036,0.0541803704,0.0034620045,0.0000000000,0.0010386014,0.0001731002,0.0039813052,0.1298828688,0.0319081415,0.0349085454,0.0111361145,0.0013848018,0.0036351047,0.2700940511,0.0005193007,0.0000000000,0.0000000000,0.0000000000,0.0174254227,0.0002308003,1
SRR5224647,0.000000e+00,0.000000e+00,3.350055e-02,3.422707e-01,1.383844e-03,2.061927e-01,1.037883e-03,9.513925e-03,5.766015e-04,2.306406e-04,0.000000e+00,0.000000e+00,1.499164e-03,7.034538e-03,2.710027e-03,1.602952e-02,4.036211e-04,5.766015e-05,2.883008e-04,3.586461e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.862423e-02,0.000000e+00,1
SRR5224648,0.0000000000,0.0000000000,0.1397347174,0.1724336794,0.0005190311,0.0664359862,0.0036332180,0.0213379469,0.0005767013,0.0003460208,0.0009227220,0.0008073818,0.0028258362,0.2309111880,0.0445790081,0.0211649366,0.0114763552,0.0066897347,0.0029411765,0.2396193772,0.0000000000,0.0002883506,0.0000000000,0.0006343714,0.0321222607,0.0000000000,0
SRR5224652,0.0000000000,0.0000000000,0.2302000231,0.0977569661,0.0010405827,0.1243496358,0.0000000000,0.0387328015,0.0005202914,0.0000000000,0.0307550006,0.0000000000,0.0015030639,0.0411608278,0.0206960342,0.0244536941,0.0110995491,0.0067059776,0.0003468609,0.2816510579,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0890276333,0.0000000000,1
